user_id,age,gender,country,post_id,post_type,post_category,likes,comments,shares,watch_time_sec,impression_count,posted_at,follower_count,is_verified,device_type,sentiment,hashtags,engagement_rate,hashtag_count,Engagement_Score,Hashtag_counts,hour,watch_time_hours,day_name
72955,45,Male,UAE,200050,Reel,Food,11935,1294,1214,1229,92955,2022-07-24,67694,False,Desktop,Positive,#reels,0.155376257,1,14443,1,0,0.3413888888888889,Sunday
74925,13,Male,Germany,980370,Text,Lifestyle,6704,2804,1012,4394,63141,2023-05-01,212134,False,Mobile,Positive,#foodie #fun #lifestyle,0.181086774,3,10520,3,0,1.2205555555555556,Monday
77969,27,Female,India,433477,Image,Tech,15379,2393,1210,1823,66245,2022-04-20,63347,False,Mobile,Positive,#love #fashion #fitness,0.286542381,3,18982,3,0,0.5063888888888889,Wednesday
93104,29,Female,USA,140857,Reel,Fitness,8573,1804,319,2276,17019,2022-11-14,665397,False,Mobile,Positive,#foodie #fitness,0.628474058,2,10696,2,0,0.6322222222222222,Monday
63707,36,Other,Australia,938204,Reel,Fitness,1132,2035,1914,2943,85311,2023-08-15,694794,False,Mobile,Positive,#fun,0.059558556,1,5081,1,0,0.8175,Tuesday
38693,62,Male,India,828493,Text,Fashion,19519,737,368,269,74584,2023-09-02,353109,False,Desktop,Neutral,#fashion,0.276520433,1,20624,1,0,0.07472222222222222,Saturday
81932,39,Female,France,195856,Reel,Lifestyle,15534,1777,296,4176,72793,2023-05-13,499601,False,Tablet,Negative,#fitness #love,0.241877653,2,17607,2,0,1.16,Saturday
94478,35,Female,India,812514,Reel,Fashion,2079,2468,1223,7355,40937,2023-01-24,143083,False,Tablet,Positive,#reels,0.140948286,1,5770,1,0,2.0430555555555556,Tuesday
28431,58,Other,Brazil,892539,Reel,Fitness,944,1203,795,3771,86850,2023-08-11,519435,True,Desktop,Positive,#love #music,0.033874496,2,2942,2,0,1.0475,Friday
12747,20,Other,Germany,322368,Video,Tech,5840,1661,1402,4915,44951,2023-08-16,728590,False,Mobile,Neutral,#fashion,0.19806011,1,8903,1,0,1.3652777777777778,Wednesday
69150,20,Male,Canada,921993,Text,Food,6674,1306,1103,500,37198,2022-12-30,195211,False,Desktop,Neutral,#fitness,0.244179795,1,9083,1,0,0.1388888888888889,Friday
75725,38,Male,Canada,307746,Video,Food,10721,2465,1470,6849,31133,2022-11-05,305030,False,Desktop,Negative,#fashion,0.470754505,1,14656,1,0,1.9025,Saturday
94654,59,Other,India,790628,Video,Fashion,12493,355,500,5606,35863,2022-03-04,637053,False,Tablet,Positive,#love #foodie,0.372194183,2,13348,2,0,1.5572222222222223,Friday
45773,25,Male,UK,524824,Reel,Lifestyle,11510,15,258,7939,78960,2022-09-24,263286,False,Tablet,Positive,#lifestyle,0.149227457,1,11783,1,0,2.205277777777778,Saturday
77435,51,Other,France,637426,Text,Fitness,834,314,1636,5607,12000,2022-02-02,304622,False,Tablet,Positive,#fashion #fitness #reels,0.232,3,2784,3,0,1.5575,Wednesday
66886,49,Other,UK,530909,Image,Travel,4184,2580,1567,5085,23454,2022-02-09,378379,False,Tablet,Negative,#reels #tech,0.355205935,2,8331,2,0,1.4125,Wednesday
41551,38,Male,UAE,838360,Text,Fitness,5168,1486,1144,2750,12440,2022-09-17,562099,False,Tablet,Neutral,#music #lifestyle #love,0.626848875,3,7798,3,0,0.7638888888888888,Saturday
21394,37,Male,Germany,748431,Video,Education,4991,2592,1078,1312,91421,2022-09-24,396345,False,Mobile,Neutral,#lifestyle #fun #music,0.094737533,3,8661,3,0,0.36444444444444446,Saturday
79092,28,Male,Germany,776608,Text,Travel,8146,693,1516,2153,16759,2023-10-29,780044,True,Desktop,Negative,#fitness #tech,0.617876962,2,10355,2,0,0.5980555555555556,Sunday
13890,14,Female,Canada,333829,Reel,Tech,13884,68,17,4736,14787,2023-10-23,42518,False,Mobile,Positive,#reels #foodie #travel,0.944681139,3,13969,3,0,1.3155555555555556,Monday
90038,29,Male,UK,147547,Video,Food,19918,2859,1903,3043,73974,2023-01-18,133257,False,Desktop,Negative,#tech #fun #foodie,0.333630735,3,24680,3,0,0.8452777777777778,Wednesday
97313,42,Male,France,374244,Text,Fashion,14844,918,1656,5104,17335,2023-05-13,771262,False,Tablet,Negative,#fun #reels,1.004788001,2,17418,2,0,1.4177777777777778,Saturday
20627,51,Male,France,410074,Text,Fitness,18436,2894,109,5695,86543,2023-10-01,620110,False,Mobile,Negative,#love #music #travel,0.247726564,3,21439,3,0,1.5819444444444444,Sunday
18792,25,Male,Canada,307977,Video,Tech,8151,739,330,1663,74315,2022-01-05,117310,False,Desktop,Positive,#foodie #music #love,0.124066474,3,9220,3,0,0.46194444444444444,Wednesday
83969,44,Female,India,939457,Reel,Fitness,28,1490,1596,3294,95708,2023-03-22,545643,False,Mobile,Neutral,#fashion #foodie #love,0.032536465,3,3114,3,0,0.915,Wednesday
53001,62,Female,France,569092,Image,Tech,18244,2486,945,5924,44243,2022-10-15,512624,False,Desktop,Neutral,#tech #reels,0.489908008,2,21675,2,0,1.6455555555555557,Saturday
86552,41,Other,UK,178944,Video,Lifestyle,7934,2577,1287,1997,74411,2022-02-27,570760,False,Desktop,Neutral,#love,0.158551827,1,11798,1,0,0.5547222222222222,Sunday
33897,38,Female,USA,544056,Video,Music,2572,2777,267,2429,88819,2022-03-13,721632,False,Desktop,Neutral,#tech #music #foodie,0.063229714,3,5616,3,0,0.6747222222222222,Sunday
78148,42,Other,India,715929,Reel,Food,15281,272,434,6981,29387,2023-10-29,650505,False,Mobile,Neutral,#love #music #fitness,0.544016062,3,15987,3,0,1.9391666666666667,Sunday
33483,30,Male,UAE,721208,Reel,Fashion,8051,458,449,6022,69946,2023-11-11,107051,False,Desktop,Positive,#fashion,0.128070226,1,8958,1,0,1.6727777777777777,Saturday
58555,25,Female,Japan,666650,Text,Travel,2127,819,296,4199,80963,2023-06-25,640796,False,Mobile,Negative,#music,0.040042983,1,3242,1,0,1.166388888888889,Sunday
27159,55,Male,Brazil,591592,Video,Travel,10083,1196,1941,2711,24240,2022-03-23,148086,False,Mobile,Negative,#travel #fashion #reels,0.545379538,3,13220,3,0,0.7530555555555556,Wednesday
90077,33,Male,Germany,915042,Text,Lifestyle,19091,2615,1662,3185,94333,2023-09-10,745744,False,Tablet,Negative,#foodie,0.24771819,1,23368,1,0,0.8847222222222222,Sunday
45920,42,Male,Germany,990766,Text,Education,10105,860,1160,1531,30757,2022-10-04,143321,False,Mobile,Neutral,#love #fitness,0.388626979,2,12125,2,0,0.42527777777777775,Tuesday
77121,33,Male,USA,776355,Reel,Food,15877,1973,1613,6083,59594,2023-06-06,279474,False,Desktop,Positive,#fitness,0.326593281,1,19463,1,0,1.6897222222222221,Tuesday
79479,60,Female,India,369861,Reel,Tech,10105,1544,718,5174,14846,2023-07-28,133555,True,Desktop,Positive,#foodie #lifestyle #reels,0.27448471,3,12367,3,0,1.4372222222222222,Friday
99475,29,Male,Canada,309939,Text,Food,12519,2544,1930,4216,71527,2022-05-16,728398,False,Desktop,Negative,#music,0.237574622,1,16993,1,0,1.1711111111111112,Monday
29457,52,Other,UK,310544,Video,Fashion,7816,794,1020,7384,88214,2022-04-24,440120,False,Desktop,Positive,#tech,0.109166345,1,9630,1,0,2.051111111111111,Sunday
76557,31,Male,USA,688310,Video,Music,8351,804,1420,3706,90167,2022-06-06,516878,False,Mobile,Positive,#reels #music #tech,0.117282376,3,10575,3,0,1.0294444444444444,Monday
87189,64,Male,Brazil,284740,Text,Travel,15648,1095,183,3074,49594,2023-01-31,771562,False,Tablet,Neutral,#music #fun,0.341291285,2,16926,2,0,0.8538888888888889,Tuesday
50757,64,Male,Japan,579367,Reel,Education,12133,839,319,675,47405,2022-09-12,2189,False,Mobile,Positive,#fashion #reels #music,0.280371269,3,13291,3,0,0.1875,Monday
19692,22,Other,Canada,665156,Video,Education,8591,2682,740,6584,12159,2022-06-28,159547,False,Tablet,Positive,#fitness,0.987992434,1,12013,1,0,1.8288888888888888,Tuesday
55758,56,Male,USA,198039,Text,Education,11712,602,1599,1654,24821,2022-08-17,108929,False,Tablet,Positive,#foodie,0.560533419,1,13913,1,0,0.45944444444444443,Wednesday
82409,43,Other,UAE,277452,Text,Education,6249,1497,1349,4527,79887,2023-01-02,774779,False,Tablet,Negative,#travel #music,0.129946049,2,9095,2,0,1.2575,Monday
81211,38,Male,USA,498944,Video,Fashion,15441,1432,1590,5004,95131,2022-01-31,244696,True,Tablet,Positive,#lifestyle,0.194079743,1,18463,1,0,1.39,Monday
75697,64,Female,USA,394944,Reel,Tech,6485,1833,804,4156,72283,2022-04-18,565611,True,Tablet,Negative,#travel,0.126198415,1,9122,1,0,1.1544444444444444,Monday
47065,42,Male,USA,635174,Reel,Food,9177,366,416,6869,34779,2022-10-09,330379,False,Mobile,Positive,#travel,0.286350959,1,9959,1,0,1.9080555555555556,Sunday
42606,45,Female,Canada,572830,Image,Travel,1805,255,1816,3544,97995,2023-09-13,501651,False,Tablet,Positive,#foodie,0.039553038,1,3876,1,0,0.9844444444444445,Wednesday
21534,64,Male,USA,300981,Video,Education,2096,2487,881,5366,63738,2023-01-25,578579,False,Tablet,Neutral,#fashion,0.085725941,1,5464,1,0,1.4905555555555556,Wednesday
50397,21,Male,India,278308,Video,Travel,12493,1358,790,3818,28377,2023-06-25,39871,False,Desktop,Positive,#music,0.515946013,1,14641,1,0,1.0605555555555555,Sunday
11016,59,Other,Canada,670093,Text,Education,5337,2482,1723,7082,66975,2023-06-13,507330,False,Tablet,Neutral,#love,0.142471071,1,9542,1,0,1.9672222222222222,Tuesday
65591,56,Other,India,212765,Image,Food,17843,307,1726,3443,72082,2022-06-19,458375,False,Desktop,Positive,#lifestyle #reels #fitness,0.275741517,3,19876,3,0,0.9563888888888888,Sunday
99812,47,Male,Brazil,128688,Video,Fitness,9537,2035,1927,7456,16981,2022-06-24,428566,False,Mobile,Neutral,#fun #fitness,0.794947294,2,13499,2,0,2.071111111111111,Friday
33247,23,Male,France,385233,Text,Fitness,8422,1696,1808,5709,76776,2022-03-15,17089,False,Desktop,Positive,#foodie,0.155335001,1,11926,1,0,1.5858333333333334,Tuesday
34300,46,Male,Japan,549158,Image,Education,3782,408,1630,1047,50042,2023-03-30,331448,False,Tablet,Positive,#fun #fashion #lifestyle,0.116302306,3,5820,3,0,0.29083333333333333,Thursday
92798,21,Female,Canada,814364,Video,Tech,10105,1191,758,1331,24668,2022-08-28,445092,False,Desktop,Positive,#foodie #travel #fun,0.88507378,3,12054,3,0,0.36972222222222223,Sunday
19268,44,Male,Germany,350322,Reel,Travel,9074,2134,1464,4082,31430,2022-04-06,204102,False,Mobile,Positive,#fashion #foodie #fitness,0.403181674,3,12672,3,0,1.133888888888889,Wednesday
22185,24,Other,France,102438,Video,Lifestyle,8624,2419,573,7539,33194,2022-07-21,561121,False,Tablet,Negative,#reels #tech #fun,0.349942761,3,11616,3,0,2.0941666666666667,Thursday
73704,45,Other,Japan,455239,Text,Food,7889,1497,1757,7930,93778,2022-02-06,677770,False,Mobile,Neutral,#love,0.119399006,1,11143,1,0,2.202777777777778,Sunday
96779,57,Male,UK,516428,Reel,Music,10455,2689,1290,7802,82902,2022-04-01,573690,False,Mobile,Positive,#fitness #foodie,0.174109189,2,14434,2,0,2.167222222222222,Friday
49099,26,Other,UK,805722,Video,Tech,14432,97,962,2262,18155,2022-08-21,6661,False,Mobile,Positive,#music #foodie,0.853263564,2,15491,2,0,0.6283333333333333,Sunday
18571,20,Male,India,565393,Image,Lifestyle,11194,2717,935,4357,90949,2023-10-21,29155,False,Tablet,Neutral,#music,0.16323434,1,14846,1,0,1.2102777777777778,Saturday
71228,24,Female,UK,482312,Text,Education,617,320,1335,5532,99327,2023-12-25,378630,False,Mobile,Negative,#reels #lifestyle,0.022873942,2,2272,2,0,1.5366666666666666,Monday
58984,13,Other,France,937430,Reel,Education,12684,533,1012,6266,16261,2023-03-20,427509,False,Desktop,Positive,#fun,0.926203801,1,14229,1,0,1.7405555555555556,Monday
50774,55,Male,Japan,617951,Text,Tech,8509,2867,1876,763,53518,2023-03-17,367443,False,Desktop,Positive,#tech,0.247617624,1,13252,1,0,0.21194444444444444,Friday
72592,54,Male,France,151039,Video,Fashion,6285,1207,1051,3408,90132,2022-01-05,44423,False,Mobile,Positive,#reels #love,0.094783207,2,8543,2,0,0.9466666666666667,Wednesday
77563,63,Male,USA,805191,Image,Fashion,456,416,1365,6301,31008,2023-10-20,472429,False,Tablet,Neutral,#music #reels,0.072142673,2,2237,2,0,1.7502777777777778,Friday
12695,23,Other,India,578388,Image,Tech,500,2776,425,7494,46669,2022-03-13,684217,True,Mobile,Neutral,#fitness,0.079303178,1,3701,1,0,2.0816666666666666,Sunday
58190,51,Female,Germany,789963,Image,Fashion,18699,1237,882,1684,97288,2023-02-01,765052,False,Desktop,Positive,#fitness #travel,0.213983225,2,20818,2,0,0.4677777777777778,Wednesday
15258,55,Male,Australia,730734,Text,Food,3874,847,1837,5184,54359,2023-09-09,498,False,Tablet,Negative,#music #travel #fashion,0.120642396,3,6558,3,0,1.44,Saturday
97538,43,Other,Brazil,984884,Text,Travel,4973,669,785,4464,56121,2022-11-26,655478,False,Tablet,Neutral,#travel,0.114520411,1,6427,1,0,1.24,Saturday
49504,29,Female,India,506321,Video,Lifestyle,4774,1943,534,869,74981,2023-07-02,351210,True,Mobile,Negative,#reels #music #tech,0.096704498,3,7251,3,0,0.24138888888888888,Sunday
23986,38,Female,France,429326,Reel,Food,14349,2100,1634,2733,89366,2023-02-19,793851,False,Tablet,Positive,#tech,0.202347649,1,18083,1,0,0.7591666666666667,Sunday
71858,41,Male,Germany,676435,Image,Travel,17387,740,284,7815,72180,2022-12-15,373800,False,Desktop,Neutral,#lifestyle,0.255070657,1,18411,1,0,2.1708333333333334,Thursday
22666,33,Female,Brazil,876691,Video,Fashion,17450,2742,1843,913,33788,2022-12-31,509144,False,Tablet,Positive,#fitness,0.652154611,1,22035,1,0,0.2536111111111111,Saturday
48660,33,Female,Brazil,699688,Reel,Lifestyle,13622,22,621,5875,46711,2023-02-20,558846,False,Tablet,Neutral,#foodie #fitness,0.305388452,2,14265,2,0,1.6319444444444444,Monday
13561,52,Male,India,670722,Reel,Food,4716,1654,1738,3131,22956,2023-09-17,749254,False,Tablet,Negative,#lifestyle #travel #foodie,0.353197421,3,8108,3,0,0.8697222222222222,Sunday
36854,35,Other,Brazil,126515,Text,Fitness,9820,459,1129,7212,47674,2023-05-22,550933,False,Desktop,Positive,#lifestyle #music,0.239291857,2,11408,2,0,2.0033333333333334,Monday
74505,18,Female,Germany,320370,Text,Education,16087,649,503,6727,17927,2023-06-07,380074,False,Desktop,Positive,#love #fitness,0.961622134,2,17239,2,0,1.868611111111111,Wednesday
32662,62,Female,France,813757,Video,Education,3234,119,1792,542,83795,2022-09-07,210910,False,Desktop,Negative,#tech #love,0.061399845,2,5145,2,0,0.15055555555555555,Wednesday
18392,50,Female,India,816775,Reel,Travel,6494,672,1470,2203,73856,2022-09-06,254098,False,Desktop,Positive,#fashion #foodie,0.116930243,2,8636,2,0,0.6119444444444444,Tuesday
40535,49,Other,Brazil,471735,Text,Travel,14239,2255,1167,2935,18776,2022-12-17,569770,False,Desktop,Neutral,#reels,0.94061568,1,17661,1,0,0.8152777777777778,Saturday
62256,63,Male,France,932210,Video,Fitness,11430,317,61,2111,97293,2023-03-24,104397,False,Mobile,Positive,#fitness #music #love,0.12136536,3,11808,3,0,0.5863888888888888,Friday
99135,20,Male,Canada,786301,Video,Tech,5267,2385,1765,420,33693,2022-03-24,574566,False,Desktop,Negative,#fashion,0.279494257,1,9417,1,0,0.11666666666666667,Thursday
45222,53,Male,Japan,590073,Text,Fashion,12546,2202,1105,2370,81647,2023-06-25,617502,False,Desktop,Neutral,#fitness,0.194165125,1,15853,1,0,0.6583333333333333,Sunday
87373,61,Other,Canada,720137,Text,Education,3669,867,335,7276,95391,2023-02-11,162172,False,Mobile,Positive,#love #tech,0.051063518,2,4871,2,0,2.0211111111111113,Saturday
89575,47,Female,Canada,989515,Image,Food,9657,393,210,1486,24814,2022-12-05,778649,False,Mobile,Positive,#music #love,0.413476263,2,10260,2,0,0.4127777777777778,Monday
94651,63,Female,Japan,534171,Video,Music,10105,2552,399,5699,86472,2022-03-21,100750,False,Desktop,Positive,#music #travel #love,0.056804515,3,13056,3,0,1.5830555555555557,Monday
73335,23,Female,Brazil,309637,Reel,Music,13940,1497,708,546,83182,2022-04-05,98477,False,Desktop,Neutral,#foodie #tech #love,0.187756967,3,16145,3,0,0.15166666666666667,Tuesday
20965,36,Other,Canada,987708,Text,Food,17259,312,346,6394,35401,2022-09-16,406187,False,Desktop,Negative,#foodie,0.506115646,1,17917,1,0,1.7761111111111112,Friday
34538,61,Female,Brazil,419052,Text,Food,12093,1282,1221,4961,38480,2022-05-02,454904,False,Mobile,Positive,#music #tech #love,0.379313929,3,14596,3,0,1.3780555555555556,Monday
18110,63,Other,France,349708,Text,Education,3516,76,1185,1571,95942,2023-06-19,615884,False,Tablet,Positive,#fashion #fitness #love,0.049790498,3,4777,3,0,0.4363888888888889,Monday
89309,14,Male,UAE,548912,Image,Education,15032,408,1231,6584,18709,2023-12-29,504976,True,Tablet,Neutral,#reels #love #travel,0.89106847,3,16671,3,0,1.8288888888888888,Friday
37266,52,Male,Germany,980480,Video,Music,7233,2441,820,453,92772,2022-10-16,297039,False,Tablet,Positive,#fun,0.113116026,1,10494,1,0,0.12583333333333332,Sunday
62992,31,Other,Brazil,307748,Text,Tech,13170,2267,1012,2691,69308,2023-04-07,124045,False,Tablet,Positive,#travel #lifestyle,0.235975645,2,16449,2,0,0.7475,Friday
16910,40,Female,Australia,770207,Reel,Travel,16958,432,43,1757,57726,2022-01-24,289472,False,Tablet,Neutral,#reels,0.301995635,1,17433,1,0,0.4880555555555556,Monday
10206,29,Other,Canada,802551,Reel,Travel,17842,2853,799,4774,91351,2022-04-17,547686,False,Desktop,Positive,#fun #music #travel,0.235290254,3,21494,3,0,1.326111111111111,Sunday
97897,31,Female,Brazil,521990,Reel,Fitness,3172,1677,1302,59,94348,2023-12-12,231170,False,Mobile,Positive,#tech #music #travel,0.065194811,3,6151,3,0,0.01638888888888889,Tuesday
60636,40,Male,Canada,633415,Reel,Fashion,3427,987,786,1417,91402,2022-10-27,529310,False,Mobile,Positive,#fun,0.056891534,1,5200,1,0,0.39361111111111113,Thursday
60015,14,Female,Canada,218251,Reel,Food,7798,1521,732,2160,48058,2022-12-11,16065,False,Desktop,Neutral,#travel,0.209143119,1,10051,1,0,0.6,Sunday
64268,50,Other,Australia,783565,Text,Fitness,10105,2701,967,7388,99648,2023-01-17,490632,False,Tablet,Positive,#fashion #travel,0.114442839,2,13773,2,0,2.0522222222222224,Tuesday
97939,49,Male,India,863570,Text,Travel,15490,2864,1820,5910,23553,2023-07-22,720114,False,Tablet,Positive,#fitness #lifestyle,0.856536322,2,20174,2,0,1.6416666666666666,Saturday
28141,63,Female,France,593322,Text,Fitness,10707,1553,1169,6211,73529,2022-07-13,80606,False,Desktop,Positive,#foodie #fashion #fun,0.182635423,3,13429,3,0,1.7252777777777777,Wednesday
90356,64,Female,Australia,967595,Image,Education,11743,754,1092,1338,20892,2023-07-11,721208,False,Desktop,Negative,#tech #fitness #lifestyle,0.65044036,3,13589,3,0,0.37166666666666665,Tuesday
77214,38,Male,Brazil,662952,Video,Education,19348,1119,110,2310,84538,2023-01-07,62873,False,Mobile,Neutral,#fashion #fun #fitness,0.243405333,3,20577,3,0,0.6416666666666667,Saturday
43827,61,Male,Brazil,156795,Reel,Fashion,3313,27,1572,7948,62694,2022-11-16,303713,False,Mobile,Neutral,#tech #foodie,0.078348805,2,4912,2,0,2.207777777777778,Wednesday
91734,25,Other,UK,344620,Image,Education,8873,2072,1078,7434,47722,2023-10-10,149994,False,Tablet,Neutral,#fashion #love,0.251938309,2,12023,2,0,2.065,Tuesday
85450,64,Other,USA,136079,Text,Travel,4458,1710,1667,719,87695,2022-10-12,45699,False,Desktop,Neutral,#fitness,0.089343748,1,7835,1,0,0.19972222222222222,Wednesday
53585,29,Other,Japan,648547,Text,Fitness,9350,541,895,562,35232,2023-01-20,307477,False,Tablet,Positive,#fashion #love,0.306142144,2,10786,2,0,0.15611111111111112,Friday
74044,53,Male,UK,388715,Image,Travel,8184,164,1598,982,28182,2023-06-25,88041,False,Tablet,Positive,#love,0.352920304,1,9946,1,0,0.2727777777777778,Sunday
52557,48,Male,Canada,151119,Image,Music,15865,2255,523,2966,56405,2023-11-21,16647,False,Mobile,Neutral,#music #fun,0.330520344,2,18643,2,0,0.8238888888888889,Tuesday
59080,58,Male,France,370153,Text,Food,2341,2996,145,2335,53346,2022-10-20,730803,False,Desktop,Positive,#music #fashion #travel,0.102763094,3,5482,3,0,0.6486111111111111,Thursday
12693,31,Male,India,210210,Text,Education,17902,984,263,4520,51789,2022-09-14,449441,False,Desktop,Positive,#love,0.369750333,1,19149,1,0,1.2555555555555555,Wednesday
79163,47,Female,UK,603747,Video,Travel,1838,2661,1567,4649,40864,2022-04-18,179403,True,Tablet,Positive,#lifestyle,0.148443618,1,6066,1,0,1.291388888888889,Monday
35939,58,Other,Germany,423973,Text,Music,17254,372,467,4854,22468,2023-08-04,518801,True,Desktop,Positive,#travel #foodie,0.805278618,2,18093,2,0,1.3483333333333334,Friday
58925,52,Female,Brazil,400374,Text,Food,5538,1497,1584,1730,35339,2023-11-19,200136,False,Tablet,Negative,#fun #fashion #music,0.21899318,3,8619,3,0,0.48055555555555557,Sunday
52941,40,Other,USA,211364,Video,Fashion,11469,68,871,4339,68070,2022-07-02,782105,False,Desktop,Neutral,#lifestyle #music,0.182282944,2,12408,2,0,1.2052777777777777,Saturday
31834,13,Male,Canada,418193,Reel,Fashion,9533,1543,958,7879,69971,2023-12-07,428831,False,Mobile,Positive,#fun,0.171985537,1,12034,1,0,2.1886111111111113,Thursday
28047,54,Other,USA,463906,Video,Education,5477,1497,1996,7800,81659,2023-01-02,111108,False,Desktop,Neutral,#fitness #love #travel,0.111818661,3,8970,3,0,2.1666666666666665,Monday
36105,30,Other,India,485417,Reel,Travel,9363,100,1210,3047,85542,2023-06-18,690569,False,Mobile,Negative,#fun #travel #fitness,0.124769119,3,10673,3,0,0.8463888888888889,Sunday
85766,60,Male,Brazil,481610,Reel,Fashion,12264,0,1366,1357,84325,2023-06-07,125301,False,Mobile,Neutral,#fun #foodie,0.161636525,2,13630,2,0,0.37694444444444447,Wednesday
25707,52,Other,Germany,791858,Reel,Fitness,13536,2398,1986,2375,87307,2022-10-12,152871,False,Tablet,Negative,#fashion #lifestyle #foodie,0.205252729,3,17920,3,0,0.6597222222222222,Wednesday
31976,45,Male,Japan,743341,Video,Food,17512,2054,1122,2762,92022,2022-09-16,238701,False,Mobile,Positive,#love #music #lifestyle,0.224815805,3,20688,3,0,0.7672222222222222,Friday
54262,24,Male,India,533531,Video,Tech,11819,317,678,5225,46370,2022-06-22,654879,False,Tablet,Neutral,#fun #fashion #lifestyle,0.276342463,3,12814,3,0,1.4513888888888888,Wednesday
33776,20,Male,UK,981450,Image,Music,12191,2670,1329,1785,87701,2023-12-18,209807,False,Mobile,Neutral,#love #music #tech,0.184604509,3,16190,3,0,0.49583333333333335,Monday
40080,36,Male,Japan,919227,Reel,Tech,6499,1878,1748,6006,73079,2022-11-26,682711,False,Mobile,Positive,#fun,0.138548694,1,10125,1,0,1.6683333333333332,Saturday
76842,28,Other,Japan,738100,Video,Fashion,12079,2556,1222,1962,44114,2023-03-28,100304,True,Mobile,Negative,#fun #tech #love,0.359455048,3,15857,3,0,0.545,Tuesday
71373,62,Female,Germany,709699,Image,Music,17668,185,757,6944,64980,2023-04-16,153008,False,Desktop,Positive,#music #travel,0.286395814,2,18610,2,0,1.9288888888888889,Sunday
16776,16,Male,UK,401335,Reel,Food,8762,727,1177,7246,15765,2022-03-22,384358,False,Desktop,Neutral,#love #fitness,0.676562004,2,10666,2,0,2.012777777777778,Tuesday
65016,50,Female,Australia,285525,Video,Fitness,19248,2509,918,1188,40642,2022-11-17,135793,False,Mobile,Positive,#lifestyle #fashion,0.557920378,2,22675,2,0,0.33,Thursday
19474,56,Female,India,112453,Video,Tech,6045,342,1119,5965,86869,2023-03-17,790635,False,Tablet,Positive,#reels #lifestyle,0.086405968,2,7506,2,0,1.6569444444444446,Friday
68053,39,Other,France,220848,Video,Fitness,12176,2682,574,2678,37068,2023-02-03,651107,False,Mobile,Positive,#fitness #music #reels,0.41631596,3,15432,3,0,0.7438888888888889,Friday
31959,21,Male,UAE,543541,Text,Fitness,11333,712,705,6105,23581,2022-07-07,182385,False,Tablet,Positive,#tech #foodie #love,0.540689538,3,12750,3,0,1.6958333333333333,Thursday
15530,59,Other,Brazil,674281,Image,Tech,18361,2623,1958,5176,70658,2023-03-14,247982,False,Mobile,Positive,#lifestyle #fashion #foodie,0.324690764,3,22942,3,0,1.4377777777777778,Tuesday
13748,28,Male,Germany,472924,Video,Tech,8638,135,833,5055,52744,2023-03-24,714862,False,Mobile,Positive,#love,0.182124981,1,9606,1,0,1.4041666666666666,Friday
23545,24,Female,Brazil,145706,Text,Music,13070,1922,1382,3007,47054,2023-04-15,336301,False,Tablet,Positive,#fitness,0.347983168,1,16374,1,0,0.8352777777777778,Saturday
